z_meas,qc_meas,z,qc,z_koppejan,qc_koppejan,z_filter,qc_filter
-0.16488,1.87,0.53928,1.92,-0.16416,1.92,-1.22,1.925088399
-0.16776,1.87,0.53784,1.92,-0.1656,1.92,-1.23,1.92512669
-0.1692,1.87,0.5364,1.92,-0.16704,1.92,-1.24,1.92516498
-0.17064,1.87,0.53496,1.92,-0.16848,1.92,-1.25,1.925203269
-0.17208,1.87,0.53352,1.92,-0.16992,1.92,-1.26,1.925241559
-0.17352,1.88,0.53208,1.92,-0.17136,1.92,-1.27,1.925279847
-0.17496,1.88,0.53064,1.92,-0.1728,1.92,-1.28,1.925318136
-0.1764,1.88,0.5292,1.92,-0.17424,1.87,-1.29,1.925356424
-0.17784,1.88,0.52776,1.92,-0.17568,1.83,-1.3,1.925394711
-0.17928,1.88,0.52632,1.92,-0.17712,1.78,-1.31,1.925432998
-0.18072,1.88,0.52488,1.92,-0.17856,1.73,-1.32,1.925471285
-0.18216,1.88,0.5238,1.92,-0.18,1.69,-1.33,1.925509571
-0.1836,1.88,0.52236,1.92,-0.18144,1.64,-1.34,1.925547856
-0.18504,1.88,0.52092,1.92,-0.18288,1.59,-1.35,1.925586142
-0.18648,1.88,0.51948,1.92,-0.18432,1.54,-1.36,1.925624426
-0.18792,1.88,0.51804,1.92,-0.18576,1.5,-1.37,1.925662711
-0.18936,1.88,0.5166,1.92,-0.1872,1.45,-1.38,1.925700995
-0.1908,1.88,0.51516,1.92,-0.18864,1.4,-1.39,1.925739278
-0.19224,1.88,0.51372,1.92,-0.18972,1.35,-1.4,1.925777561
-0.19368,1.88,0.51228,1.92,-0.19116,1.3,-1.41,1.925815843
-0.19512,1.87,0.51084,1.92,-0.1926,1.26,-1.42,1.925854125
-0.1962,1.87,0.5094,1.92,-0.19404,1.21,-1.43,1.925892407
-0.19764,1.87,0.50796,1.92,-0.19548,1.16,-1.44,1.925930688
-0.19908,1.87,0.50652,1.92,-0.19692,1.11,-1.45,1.925968974
-0.20052,1.86,0.50508,1.92,-0.19836,1.06,-1.46,1.926007259
-0.2034,1.86,0.50364,1.92,-0.1998,1.01,-1.47,1.926045543
-0.20484,1.86,0.5022,1.92,-0.20124,0.96,-1.48,1.926083827
-0.20628,1.85,0.50076,1.92,-0.20268,0.91,-1.49,1.926122111
-0.20772,1.85,0.49932,1.92,-0.20412,0.86,-1.5,1.926160394
-0.20916,1.84,0.49788,1.92,-0.20556,0.81,,
-0.2106,1.84,0.49644,1.92,-0.207,0.76,,
-0.21204,1.83,0.495,1.92,-0.20844,0.71,,
-0.21348,1.83,0.49392,1.92,-0.20988,0.66,,
-0.21492,1.82,0.49248,1.92,-0.21132,0.61,,
-0.21636,1.81,0.49104,1.92,-0.21276,0.61,,
-0.2178,1.8,0.4896,1.92,-0.2142,0.6,,
-0.21924,1.8,0.48816,1.92,-0.21564,0.6,,
-0.22068,1.79,0.48672,1.92,-0.21708,0.6,,
-0.22212,1.78,0.48528,1.92,-0.21852,0.59,,
-0.225,1.77,0.48384,1.92,-0.2196,0.59,,
-0.22608,1.77,0.4824,1.92,-0.22104,0.58,,
-0.22752,1.76,0.48096,1.92,-0.22248,0.58,,
-0.22896,1.75,0.47952,1.92,-0.22392,0.58,,
-0.2304,1.74,0.47808,1.92,-0.22536,0.57,,
-0.23184,1.73,0.47664,1.92,-0.2268,0.57,,
-0.23328,1.72,0.4752,1.92,-0.22824,0.56,,
-0.23472,1.71,0.47376,1.92,-0.22968,0.56,,
-0.23616,1.7,0.47232,1.92,-0.23112,0.56,,
-0.2376,1.69,0.47088,1.92,-0.23256,0.55,,
-0.23904,1.68,0.46944,1.92,-0.234,0.55,,
-0.24048,1.67,0.468,1.92,-0.23544,0.55,,
-0.24192,1.66,0.46656,1.92,-0.23688,0.54,,
-0.24336,1.65,0.46512,1.92,-0.23832,0.54,,
-0.2448,1.63,0.46404,1.92,-0.23976,0.53,,
-0.24768,1.62,0.4626,1.92,-0.2412,0.53,,
-0.24912,1.61,0.46116,1.92,-0.24264,0.53,,
-0.25056,1.6,0.45972,1.92,-0.24408,0.53,,
-0.252,1.59,0.45828,1.92,-0.24552,0.52,,
-0.25344,1.58,0.45684,1.92,-0.24696,0.52,,
-0.25488,1.56,0.4554,1.92,-0.2484,0.52,,
-0.25596,1.55,0.45396,1.92,-0.24948,0.51,,
-0.2574,1.54,0.45252,1.92,-0.25092,0.51,,
-0.25884,1.53,0.45108,1.92,-0.25236,0.51,,
-0.26028,1.51,0.44964,1.92,-0.2538,0.51,,
-0.26172,1.5,0.4482,1.92,-0.25524,0.5,,
-0.26316,1.49,0.44676,1.92,-0.25668,0.5,,
-0.2646,1.47,0.44532,1.92,-0.25812,0.5,,
-0.26604,1.46,0.44388,1.92,-0.25956,0.5,,
-0.26748,1.45,0.44244,1.92,-0.261,0.49,,
-0.26892,1.43,0.441,1.92,-0.26244,0.49,,
-0.27036,1.42,0.43956,1.92,-0.26388,0.49,,
-0.2718,1.4,0.43812,1.92,-0.26532,0.49,,
-0.27324,1.39,0.43668,1.92,-0.26676,0.49,,
-0.27468,1.37,0.43524,1.92,-0.2682,0.48,,
-0.27756,1.36,0.43416,1.92,-0.26964,0.48,,
-0.279,1.34,0.43272,1.92,-0.27108,0.48,,
-0.28044,1.33,0.43128,1.92,-0.27252,0.48,,
-0.28188,1.31,0.42984,1.92,-0.27396,0.47,,
-0.28332,1.29,0.4284,1.92,-0.2754,0.47,,
-0.28476,1.27,0.42696,1.92,-0.27684,0.47,,
-0.28584,1.25,0.42552,1.92,-0.27828,0.47,,
-0.28728,1.23,0.42408,1.92,-0.27936,0.46,,
-0.28872,1.22,0.42264,1.92,-0.2808,0.46,,
-0.29016,1.2,0.4212,1.92,-0.28224,0.46,,
-0.2916,1.18,0.41976,1.92,-0.28368,0.45,,
-0.29304,1.16,0.41832,1.92,-0.28512,0.45,,
-0.29448,1.14,0.41688,1.92,-0.28656,0.45,,
-0.29592,1.12,0.41544,1.92,-0.288,0.45,,
-0.29736,1.1,0.414,1.92,-0.28944,0.44,,
-0.2988,1.08,0.41256,1.92,-0.29088,0.44,,
