meas_y,meas_x,estimated_y,estimated_x
-16.72,0.5,3.44,1.92
-16.76,0.51,3.4,1.92
-16.8,0.52,3.36,1.92
-16.84,0.54,3.32,1.92
-16.88,0.56,3.28,1.92
-16.92,0.59,3.24,1.92
-16.96,0.62,3.2,1.92
-17,0.65,3.16,1.92
-17.04,0.68,3.12,1.92
-17.08,0.71,3.08,1.92
-17.11,0.74,3.04,1.92
-17.15,0.76,3,1.92
-17.19,0.79,2.96,1.92
-17.23,0.81,2.92,1.92
-17.27,0.82,2.89,1.92
-17.31,0.84,2.85,1.92
-17.35,0.86,2.81,1.92
-17.39,0.87,2.77,1.92
-17.43,0.89,2.73,1.92
-17.47,0.9,2.69,1.92
-17.51,0.92,2.65,1.92
-17.55,0.93,2.61,1.92
-17.59,0.95,2.57,1.92
-17.63,0.96,2.53,1.92
-17.71,0.97,2.49,1.92
-17.75,0.98,2.45,1.92
-17.79,0.98,2.41,1.92
-17.83,0.98,2.37,1.92
-17.87,0.98,2.33,1.92
-17.91,0.97,2.29,1.92
-17.94,0.96,2.25,1.92
-17.98,0.95,2.21,1.92
-18.02,0.95,2.17,1.92
-18.06,0.94,2.13,1.92
-18.1,0.92,2.09,1.92
-18.14,0.91,2.06,1.92
-18.18,0.9,2.02,1.92
-18.22,0.88,1.98,1.92
-18.26,0.87,1.94,1.92
-18.3,0.86,1.9,1.92
-18.34,0.84,1.86,1.92
-18.38,0.82,1.82,1.92
-18.42,0.81,1.78,1.92
-18.5,0.79,1.74,1.92
-18.54,0.78,1.7,1.92
-18.58,0.76,1.66,1.92
-18.62,0.74,1.62,1.92
-18.66,0.72,1.58,1.92
-18.7,0.71,1.54,1.92
-18.74,0.69,1.5,1.92
-18.77,0.68,1.46,1.92
-18.81,0.66,1.42,1.92
-18.85,0.65,1.38,1.92
-18.89,0.64,1.34,1.92
-18.93,0.63,1.3,1.92
-18.97,0.62,1.26,1.92
-19.05,0.61,1.23,1.92
-19.09,0.59,1.19,1.92
-19.13,0.58,1.15,1.92
-19.17,0.57,1.11,1.92
-19.21,0.56,1.07,1.92
-19.25,0.55,1.03,1.92
-19.29,0.54,0.99,1.92
-19.33,0.54,0.95,1.92
-19.37,0.53,0.91,1.92
-19.41,0.53,0.87,1.92
-19.45,0.53,0.83,1.92
-19.49,0.53,0.79,1.92
-19.53,0.53,0.75,1.92
-19.57,0.53,0.71,1.92
-19.6,0.54,0.67,1.92
-19.64,0.54,0.63,1.92
-19.68,0.54,0.59,1.92
-19.72,0.54,0.55,1.92
-19.76,0.55,0.51,1.92
-19.8,0.56,0.47,1.92
-19.84,0.57,0.43,1.92
-19.88,0.58,0.4,1.92
-19.92,0.6,0.36,1.92
-19.96,0.64,0.32,1.92
-20,0.68,0.28,1.92
-20.04,0.72,0.24,1.92
-20.08,0.76,0.2,1.92
-20.12,0.8,0.16,1.92
-20.16,0.84,0.12,1.92
-20.2,0.88,0.08,1.92
-20.28,0.91,0.04,1.92
-20.32,0.94,0,1.92
-20.36,0.97,-0.04,1.92
-20.4,1.01,-0.08,1.92
-20.43,1.05,-0.12,1.92
-20.47,1.09,-0.16,1.92
-20.51,1.13,-0.2,1.92
-20.55,1.17,-0.24,1.92
-20.59,1.21,-0.28,1.92
-20.63,1.25,-0.32,1.92
-20.67,1.29,-0.36,1.92
-20.71,1.33,-0.4,1.92
-20.75,1.37,-0.43,1.92
-20.79,1.4,-0.47,1.92
-20.83,1.43,-0.51,1.92
-20.87,1.46,-0.55,1.92
-20.91,1.49,-0.59,1.92
-20.95,1.53,-0.63,1.92
-21.03,1.57,-0.67,1.92
